,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,821,Lethbridge,"0 bd
1 ba
0 sf",0,1,0,Apt/Condo,Lethbridge,Alberta
1,"1,126",Lethbridge,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,Lethbridge,Alberta
2,"1,056",Lethbridge,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,Lethbridge,Alberta
3,"1,145",Lethbridge,"2 bd
1 ba
1163 sf",2,1,1163,Apt/Condo,Lethbridge,Alberta
4,200,Lethbridge,"0 bd
0 ba
0 sf",0,0,0,Apt/Condo,Lethbridge,Alberta
5,996,Lethbridge,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Lethbridge,Alberta
6,"1,031",Lethbridge,"1 bd
1 ba
520 sf",1,1,520,Apt/Condo,Lethbridge,Alberta
7,"1,400",Lethbridge,"3 bd
2 ba
0 sf",3,2,0,Townhouse,Lethbridge,Alberta
8,950,Lethbridge,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Lethbridge,Alberta
9,"1,051",Lethbridge,"2 bd
1 ba
808 sf",2,1,808,Apt/Condo,Lethbridge,Alberta
10,956,Lethbridge,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Lethbridge,Alberta
11,"1,076",Lethbridge,"2 bd
1 ba
735 sf",2,1,735,Apt/Condo,Lethbridge,Alberta
12,"1,595",Lethbridge,"3 bd
1 ba
1015 sf",3,1,1015,Apt/Condo,Lethbridge,Alberta
13,"1,126",Lethbridge,"2 bd
1 ba
836 sf",2,1,836,Apt/Condo,Lethbridge,Alberta
14,926,Lethbridge,"0 bd
1 ba
600 sf",0,1,600,Apt/Condo,Lethbridge,Alberta
15,"2,110",Lethbridge,"4 bd
1 ba
1126 sf",4,1,1126,Apt/Condo,Lethbridge,Alberta
16,"1,150",Lethbridge,"2 bd
1 ba
0 sf",2,1,0,House,Lethbridge,Alberta
17,926,Lethbridge,"1 bd
1 ba
450 sf",1,1,450,Apt/Condo,Lethbridge,Alberta
18,826,Lethbridge,"0 bd
1 ba
333 sf",0,1,333,Apt/Condo,Lethbridge,Alberta
19,"1,050",Lethbridge,"2 bd
1 ba
837 sf",2,1,837,Apt/Condo,Lethbridge,Alberta
20,905,Lethbridge,"0 bd
1 ba
295 sf",0,1,295,Apt/Condo,Lethbridge,Alberta
21,976,Lethbridge,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Lethbridge,Alberta
22,895,Lethbridge,"1 bd
1 ba
677 sf",1,1,677,Apt/Condo,Lethbridge,Alberta
23,"1,050",Lethbridge,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Lethbridge,Alberta
24,"1,300",Lethbridge,"2 bd
2 ba
0 sf",2,2,0,Apt/Condo,Lethbridge,Alberta
25,985,Lethbridge,"2 bd
1 ba
823 sf",2,1,823,Apt/Condo,Lethbridge,Alberta
26,910,Lethbridge,"1 bd
1 ba
595 sf",1,1,595,Apt/Condo,Lethbridge,Alberta
27,955,Lethbridge,"1 bd
1 ba
601 sf",1,1,601,Apt/Condo,Lethbridge,Alberta
28,"1,060",Lethbridge,"2 bd
1 ba
941 sf",2,1,941,Apt/Condo,Lethbridge,Alberta
29,"1,025",Lethbridge,"2 bd
1 ba
813 sf",2,1,813,Apt/Condo,Lethbridge,Alberta
30,925,Lethbridge,"1 bd
1 ba
554 sf",1,1,554,Apt/Condo,Lethbridge,Alberta
31,985,Lethbridge,"1 bd
1 ba
586 sf",1,1,586,Apt/Condo,Lethbridge,Alberta
32,"1,095",Lethbridge,"2 bd
1 ba
800 sf",2,1,800,Apt/Condo,Lethbridge,Alberta
33,985,Lethbridge,"2 bd
1 ba
830 sf",2,1,830,Apt/Condo,Lethbridge,Alberta
34,735,Lethbridge,"1 bd
1 ba
523 sf",1,1,523,Apt/Condo,Lethbridge,Alberta
35,835,Lethbridge,"2 bd
1 ba
811 sf",2,1,811,Apt/Condo,Lethbridge,Alberta
36,"1,105",Lethbridge,"2 bd
1 ba
915 sf",2,1,915,Apt/Condo,Lethbridge,Alberta
37,876,Lethbridge,"0 bd
1 ba
0 sf",0,1,0,Apt/Condo,Lethbridge,Alberta
38,"1,081",Lethbridge,"2 bd
1 ba
898 sf",2,1,898,Apt/Condo,Lethbridge,Alberta
39,"1,468",Lethbridge,"V Tour

2 bd
1 ba
892 sf",2,,892,"


Apt/Condo",Lethbridge,Alberta
40,"1,598",Lethbridge,"V Tour

3 bd
2 ba
1063 sf",3,,1063,"


Apt/Condo",Lethbridge,Alberta
41,"1,278",Lethbridge,"V Tour

1 bd
1 ba
657 sf",1,,657,"


Apt/Condo",Lethbridge,Alberta
42,"1,588",Lethbridge,"V Tour

3 bd
2 ba
1052 sf",3,,1052,"


Apt/Condo",Lethbridge,Alberta
43,"1,408",Lethbridge,"V Tour

2 bd
1 ba
898 sf",2,,898,"


Apt/Condo",Lethbridge,Alberta
44,"1,428",Lethbridge,"V Tour

2 bd
2 ba
956 sf",2,,956,"


Apt/Condo",Lethbridge,Alberta
45,"1,488",Lethbridge,"V Tour

2 bd
2 ba
908 sf",2,,908,"


Apt/Condo",Lethbridge,Alberta
46,"1,358",Lethbridge,"V Tour

1 bd
1 ba
651 sf",1,,651,"


Apt/Condo",Lethbridge,Alberta
47,"1,206",Lethbridge,"3 bd
1 ba
0 sf",3,1,0,Apt/Condo,Lethbridge,Alberta
